Date,UtilityType,PlanID,Provider,PlanType,Contract,Features,EstimatedBill,OtherFees,AdminFee,ElectricPrice_cents,GasPrice_cents,GreenEnergy
2025-09-07,Electricity,789,fluent utilities,variable-rate all,no-term all,no-exit-fees all,119.46,0,8,4.17,0,
2025-09-07,Electricity,5327,foothills energy co-op,variable-rate all,no-term all,no-exit-fees all,118.78,0,7.35,4.17,0,
2025-09-07,Electricity,21641,greenamp utilities,variable-rate all,no-term all,no-exit-fees all,120.39,0,9,4.17,0,
2025-09-07,Electricity,675,park power,variable-rate all,no-term all,no-exit-fees all,121.1,0,8.5,4.17,0,
2025-09-07,Electricity,12828,rocky mountain community energy,variable-rate all,no-term all,no-exit-fees all,117.86,0,6.85,4.17,0,
2025-09-07,Electricity,9246,wholesale power,variable-rate all,no-term all,no-exit-fees all,121.9,6,7.9,4.17,0,
2025-09-07,Electricity,23819,wholesale power,variable-rate all,no-term all,no-exit-fees all,125.05,9,7.9,4.17,0,
2025-09-07,Electricity,23820,wholesale power,variable-rate all,no-term all,no-exit-fees all,128.2,12,7.9,4.17,0,
2025-09-07,Electricity,339,mountain view power,variable-rate all,no-term all,no-exit-fees all,119.53,0,7.49,4.18,0,
2025-09-07,Electricity,12522,wetaskiwin power,variable-rate all,no-term all,no-exit-fees all,119.51,0,8,4.18,0,
2025-09-07,Electricity,743,sandstone energy,variable-rate all,no-term all,no-exit-fees all,119.56,0,8,4.19,0,
2025-09-07,Electricity,24456,atco energy,variable-rate all,1-year all,green-energy incentives-and-bonuses no-exit-fees all,134.18,0,9.99,5.6,0,
2025-09-07,Electricity,24457,atco energy,variable-rate all,2-year-contract all,green-energy incentives-and-bonuses no-exit-fees all,134.18,0,9.99,5.6,0,
2025-09-07,Electricity,24458,atco energy,variable-rate all,3-year-contract all,green-energy incentives-and-bonuses no-exit-fees all,134.18,0,9.99,5.6,0,
2025-09-07,Electricity,24459,atco energy,variable-rate all,5-years-or-more all,green-energy incentives-and-bonuses no-exit-fees all,134.18,0,9.99,5.6,0,
2025-09-07,Electricity,23912,abode power,promotional-rate all,1-year all,incentives-and-bonuses no-exit-fees all,116.64,0,5,5.93000031,0,
2025-09-07,Electricity,24333,neon power,promotional-rate all,1-year all,incentives-and-bonuses no-exit-fees all,122.49,0,8,6.45,0,
2025-09-07,Electricity,24130,get energy,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,123.77,0,8.97,6.5,0,
2025-09-07,Electricity,23254,guardian utilities,variable-rate all,1-year all,no-exit-fees all,128.43,6.95,6.45,6.5,0,
2025-09-07,Electricity,23495,sundance power,promotional-rate all,1-year all,incentives-and-bonuses no-exit-fees all,124.8,0,9.95,6.5,0,
2025-09-07,Electricity,23340,utilitynet,promotional-rate all,1-year all,incentives-and-bonuses no-exit-fees all,122.76,0,8,6.5,0,
2025-09-07,Electricity,23274,jade energy,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,124.73,0,8,6.88,0,
2025-09-07,Electricity,21708,altaconnect,fixed-rate all,1-year all,incentives-and-bonuses no-exit-fees all,148.19,0,30,6.95,0,
2025-09-07,Electricity,23997,airdrie energy,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,125.3,0,8,6.99,0,
2025-09-07,Electricity,23937,brighter futures energy inc.,promotional-rate all,1-year all,incentives-and-bonuses no-exit-fees all,125.35,0,8,7,0,
2025-09-07,Electricity,23919,abode power,variable-rate all,no-term all,no-exit-fees all,123.65,0,5,7.28,0,
2025-09-07,Electricity,23950,acorn energy,promotional-rate all,1-year all,incentives-and-bonuses no-exit-fees all,126.8,0,8,7.28,0,
2025-09-07,Electricity,23958,acorn energy,variable-rate all,no-term all,no-exit-fees all,126.8,0,8,7.28,0,
2025-09-07,Electricity,24007,adagio energy,promotional-rate all,1-year all,incentives-and-bonuses no-exit-fees all,126.01,0,7.25,7.28,0,
2025-09-07,Electricity,24016,adagio energy,variable-rate all,no-term all,no-exit-fees all,126.01,0,7.25,7.28,0,
2025-09-07,Electricity,24004,airdrie energy,variable-rate all,no-term all,no-exit-fees all,126.8,0,8,7.28,0,
2025-09-07,Electricity,24019,alberta utility source,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,127.32,0,8.5,7.28,0,
2025-09-07,Electricity,24029,alberta utility source,variable-rate all,no-term all,no-exit-fees all,127.32,0,8.5,7.28,0,
2025-09-07,Electricity,24032,ascend energy,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,128.85,0,9.95,7.28,0,
2025-09-07,Electricity,24038,ascend energy,variable-rate all,no-term all,no-exit-fees all,128.85,0,9.95,7.28,0,
2025-09-07,Electricity,24041,azgard energy,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,128.85,0,9.95,7.28,0,
2025-09-07,Electricity,24051,azgard energy,variable-rate all,1-year all,no-exit-fees all,128.85,0,9.95,7.28,0,
2025-09-07,Electricity,23922,big rock power,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,126.59,0,7.8,7.28,0,
2025-09-07,Electricity,23934,big rock power,variable-rate all,no-term all,no-exit-fees all,126.59,0,7.8,7.28,0,
2025-09-07,Electricity,24053,bow valley power,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,127.06,0,8.25,7.28,0,
2025-09-07,Electricity,24063,bow valley power,variable-rate all,no-term all,no-exit-fees all,127.06,0,8.25,7.28,0,
2025-09-07,Electricity,23947,brighter futures energy inc.,variable-rate all,no-term all,no-exit-fees all,126.8,0,8,7.28,0,
2025-09-07,Electricity,24066,camrose energy,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,126.54,0,7.75,7.28,0,
2025-09-07,Electricity,24076,camrose energy,variable-rate all,no-term all,no-exit-fees all,126.54,0,7.75,7.28,0,
2025-09-07,Electricity,24079,echo energy,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,126.75,0,7.95,7.28,0,
2025-09-07,Electricity,24086,echo energy,variable-rate all,no-term all,no-exit-fees all,126.75,0,7.95,7.28,0,
2025-09-07,Electricity,24089,empwr,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,125.49,0,6.75,7.28,0,
2025-09-07,Electricity,24100,empwr,variable-rate all,no-term all,no-exit-fees all,125.49,0,6.75,7.28,0,
2025-09-07,Electricity,24118,firefly utilities ,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,127.27,0,8.45,7.28,0,
2025-09-07,Electricity,24127,firefly utilities ,variable-rate all,1-year all,no-exit-fees all,127.27,0,8.45,7.28,0,
2025-09-07,Electricity,23984,fluent utilities,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,126.8,0,8,7.28,0,
2025-09-07,Electricity,23994,fluent utilities,variable-rate all,no-term all,no-exit-fees all,126.8,0,8,7.28,0,
2025-09-07,Electricity,24103,foothills energy co-op,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,126.12,0,7.35,7.28,0,
2025-09-07,Electricity,24113,foothills energy co-op,variable-rate all,no-term all,no-exit-fees all,126.12,0,7.35,7.28,0,
2025-09-07,Electricity,24419,gateway energy,promotional-rate all,1-year all,incentives-and-bonuses no-exit-fees all,127.84,0,8.99,7.28,0,
2025-09-07,Electricity,24139,get energy,variable-rate all,no-term all,no-exit-fees all,127.82,0,8.97,7.28,0,
2025-09-07,Electricity,24269,great canadian utilities,promotional-rate all,1-year all,incentives-and-bonuses no-exit-fees all,126.8,0,8,7.28,0,
2025-09-07,Electricity,24279,great canadian utilities,variable-rate all,1-year all,no-exit-fees all,126.8,0,8,7.28,0,
2025-09-07,Electricity,24140,greenamp utilities,promotional-rate all,1-year all,incentives-and-bonuses no-exit-fees all,127.85,0,9,7.28,0,
2025-09-07,Electricity,24150,greenamp utilities,variable-rate all,no-term all,no-exit-fees all,127.85,0,9,7.28,0,
2025-09-07,Electricity,24156,guardian utilities,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,135.62,9.95,6.45,7.28,0,
2025-09-07,Electricity,24158,guardian utilities,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,135.62,9.95,6.45,7.28,0,
2025-09-07,Electricity,24159,guardian utilities,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,132.47,6.95,6.45,7.28,0,
2025-09-07,Electricity,24161,guardian utilities,variable-rate all,1-year all,no-exit-fees all,135.62,9.95,6.45,7.28,0,
2025-09-07,Electricity,24170,guardian utilities,variable-rate all,1-year all,no-exit-fees all,138.77,12.95,6.45,7.28,0,
2025-09-07,Electricity,24171,guardian utilities,variable-rate all,1-year all,no-exit-fees all,132.47,6.95,6.45,7.28,0,
2025-09-07,Electricity,23269,headwaters utility,variable-rate all,no-term all,no-exit-fees all,126.75,0,7.95,7.28,0,
2025-09-07,Electricity,24344,headwaters utility,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,126.75,0,7.95,7.28,0,
2025-09-07,Electricity,23285,jade energy,variable-rate all,no-term all,no-exit-fees all,126.8,0,8,7.28,0,
2025-09-07,Electricity,24213,mountain view power,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,126.26,0,7.49,7.28,0,
2025-09-07,Electricity,24223,mountain view power,variable-rate all,no-term all,no-exit-fees all,126.26,0,7.49,7.28,0,
2025-09-07,Electricity,24337,neon power,variable-rate all,no-term all,no-exit-fees all,126.8,0,8,7.28,0,
2025-09-07,Electricity,24295,orizon utilities,promotional-rate all,1-year all,incentives-and-bonuses no-exit-fees all,125.59,0,6.85,7.28,0,
2025-09-07,Electricity,24305,orizon utilities,variable-rate all,no-term all,no-exit-fees all,125.59,0,6.85,7.28,0,
2025-09-07,Electricity,24182,park power,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,127.32,0,8.5,7.28,0,
2025-09-07,Electricity,24190,park power,variable-rate all,no-term all,no-exit-fees all,127.32,0,8.5,7.28,0,
2025-09-07,Electricity,23531,peyakoskan energy,promotional-rate all,1-year all,incentives-and-bonuses no-exit-fees all,126.12,0,7.35,7.28,0,
2025-09-07,Electricity,23542,peyakoskan energy,variable-rate all,1-year all,no-exit-fees all,126.12,0,7.35,7.28,0,
2025-09-07,Electricity,24628,q-tilities ,promotional-rate all,1-year all,incentives-and-bonuses no-exit-fees all,126.79,0,7.99,7.28,0,
2025-09-07,Electricity,24639,q-tilities ,variable-rate all,1-year all,incentives-and-bonuses no-exit-fees all,126.79,0,7.99,7.28,0,
2025-09-07,Electricity,24320,ridge utilities,promotional-rate all,1-year all,incentives-and-bonuses no-exit-fees all,126.79,0,7.99,7.28,0,
2025-09-07,Electricity,24330,ridge utilities,variable-rate all,no-term all,no-exit-fees all,126.79,0,7.99,7.28,0,
2025-09-07,Electricity,24252,rocky mountain community energy,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,125.59,0,6.85,7.28,0,
2025-09-07,Electricity,24268,rocky mountain community energy,variable-rate all,no-term all,no-exit-fees all,125.59,0,6.85,7.28,0,
2025-09-07,Electricity,23974,sandstone energy,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,126.8,0,8,7.28,0,
2025-09-07,Electricity,23981,sandstone energy,variable-rate all,no-term all,no-exit-fees all,126.8,0,8,7.28,0,
2025-09-07,Electricity,24193,shared value energy,promotional-rate all,1-year all,incentives-and-bonuses no-exit-fees all,126.01,0,7.25,7.28,0,
2025-09-07,Electricity,24201,shared value energy,variable-rate all,no-term all,no-exit-fees all,126.01,0,7.25,7.28,0,
2025-09-07,Electricity,24204,solarmax power,promotional-rate all,no-term all,incentives-and-bonuses no-exit-fees all,126.27,0,7.5,7.28,0,
2025-09-07,Electricity,24212,solarmax power,variable-rate all,no-term all,no-exit-fees all,126.27,0,7.5,7.28,0,
2025-09-07,Electricity,23899,spot power,promotional-rate all,1-year all,incentives-and-bonuses no-exit-fees all,126.8,0,8,7.28,0,
2025-09-07,Electricity,23909,spot power,variable-rate all,no-term all,no-exit-fees all,126.8,0,8,7.28,0,
