Provider,PlanID,PlanType,UtilityType,Contract,AvgMonthlyCost
adagio energy,24012,fixed-rate all,Electricity,3-year-contract all,43.78
rocky mountain community energy,24257,fixed-rate all,Electricity,3-year-contract all,43.82
rocky mountain community energy,24253,fixed-rate all,Electricity,1-year all,43.82
foothills energy co-op,24108,fixed-rate all,Electricity,3-year-contract all,43.84
shared value energy,24198,fixed-rate all,Electricity,3-year-contract all,43.87
adagio energy,24017,variable-rate all,Electricity,3-year-contract all,43.96
shared value energy,24202,variable-rate all,Electricity,3-year-contract all,43.96
orizon utilities,24296,fixed-rate all,Electricity,1-year all,43.99
orizon utilities,24301,fixed-rate all,Electricity,3-year-contract all,43.99
rocky mountain community energy,24254,fixed-rate all,Electricity,1-year all,43.99
olympus energy,23700,fixed-rate all,Electricity,3-year-contract all,44.04
peyakoskan energy,23543,variable-rate all,Electricity,3-year-contract all,44.06
foothills energy co-op,24114,variable-rate all,Electricity,3-year-contract all,44.06
peyakoskan energy,23535,fixed-rate all,Electricity,3-year-contract all,44.1
mountain view power,24217,fixed-rate all,Electricity,3-year-contract all,44.11
vector energy,24286,fixed-rate all,Electricity,3-year-contract all,44.14
jade energy,23276,fixed-rate all,Electricity,1-year all,44.14
wetaskiwin power,24312,fixed-rate all,Electricity,3-year-contract all,44.19
utilitynet,23965,fixed-rate all,Electricity,3-year-contract all,44.19
airdrie energy,24001,fixed-rate all,Electricity,3-year-contract all,44.19
sandstone energy,23978,fixed-rate all,Electricity,3-year-contract all,44.19
brighter futures energy inc.,23941,fixed-rate all,Electricity,3-year-contract all,44.19
spot power,23904,fixed-rate all,Electricity,3-year-contract all,44.19
mountain view power,24224,variable-rate all,Electricity,3-year-contract all,44.2
solarmax power,24210,variable-rate all,Electricity,3-year-contract all,44.21
adagio energy,24013,fixed-rate all,Electricity,3-year-contract all,44.22
atco energy,24454,variable-rate all,Bundled,3-year-contract all,44.23
atco energy,24451,variable-rate all,Bundled,1-year all,44.23
atco energy,24455,variable-rate all,Bundled,5-years-or-more all,44.23
atco energy,24453,variable-rate all,Bundled,2-year-contract all,44.23
q-tilities ,24633,fixed-rate all,Electricity,3-year-contract all,44.26
foothills energy co-op,24109,fixed-rate all,Electricity,3-year-contract all,44.27
peyakoskan energy,23536,fixed-rate all,Electricity,3-year-contract all,44.27
headwaters utility,23261,fixed-rate all,Electricity,3-year-contract all,44.27
shared value energy,24199,fixed-rate all,Electricity,3-year-contract all,44.3
adagio energy,24008,fixed-rate all,Electricity,1-year all,44.3
foothills energy co-op,24104,fixed-rate all,Electricity,1-year all,44.36
shared value energy,24194,fixed-rate all,Electricity,1-year all,44.39
atco energy,24513,combined-rate all,Bundled,1-year all,44.42
orizon utilities,24297,fixed-rate all,Electricity,1-year all,44.42
atco energy,24477,combined-rate all,Bundled,2-year-contract all,44.43
atco energy,24478,combined-rate all,Bundled,3-year-contract all,44.43
atco energy,24479,combined-rate all,Bundled,5-years-or-more all,44.44
empwr,24094,fixed-rate all,Electricity,3-year-contract all,44.45
camrose energy,24072,fixed-rate all,Electricity,3-year-contract all,44.46
camrose energy,24077,variable-rate all,Electricity,3-year-contract all,44.46
acorn energy,23955,fixed-rate all,Electricity,3-year-contract all,44.49
acorn energy,23953,fixed-rate all,Electricity,3-year-contract all,44.49
utility simple,23702,fixed-rate all,Electricity,3-year-contract all,44.49
big rock power,23927,fixed-rate all,Electricity,3-year-contract all,44.51
big rock power,23935,variable-rate all,Electricity,3-year-contract all,44.51
olympus energy,23699,fixed-rate all,Electricity,2-year-contract all,44.52
empwr,24090,fixed-rate all,Electricity,1-year all,44.54
mountain view power,24218,fixed-rate all,Electricity,3-year-contract all,44.54
vector energy,24287,fixed-rate all,Electricity,3-year-contract all,44.57
jade energy,23277,fixed-rate all,Electricity,1-year all,44.58
fluent utilities,23989,fixed-rate all,Electricity,3-year-contract all,44.62
spot power,23905,fixed-rate all,Electricity,3-year-contract all,44.62
wetaskiwin power,24313,fixed-rate all,Electricity,3-year-contract all,44.62
brighter futures energy inc.,23942,fixed-rate all,Electricity,3-year-contract all,44.62
utilitynet,23966,fixed-rate all,Electricity,3-year-contract all,44.62
airdrie energy,24002,fixed-rate all,Electricity,3-year-contract all,44.62
sandstone energy,23979,fixed-rate all,Electricity,3-year-contract all,44.62
fluent utilities,23986,fixed-rate all,Electricity,1-year all,44.62
firefly utilities ,24122,fixed-rate all,Electricity,3-year-contract all,44.64
echo energy,24088,variable-rate all,Electricity,3-year-contract all,44.66
vector energy,24293,variable-rate all,Electricity,3-year-contract all,44.66
headwaters utility,23270,variable-rate all,Electricity,3-year-contract all,44.66
alberta utility source,24023,fixed-rate all,Electricity,3-year-contract all,44.69
headwaters utility,23262,fixed-rate all,Electricity,3-year-contract all,44.7
q-tilities ,24634,fixed-rate all,Electricity,3-year-contract all,44.7
ridge utilities,24331,variable-rate all,Electricity,3-year-contract all,44.7
q-tilities ,24640,variable-rate all,Electricity,3-year-contract all,44.7
spot power,23911,variable-rate all,Electricity,3-year-contract all,44.71
great canadian utilities,24280,variable-rate all,Electricity,3-year-contract all,44.71
sandstone energy,23982,variable-rate all,Electricity,3-year-contract all,44.71
wetaskiwin power,24318,variable-rate all,Electricity,3-year-contract all,44.71
neon power,24338,variable-rate all,Electricity,3-year-contract all,44.71
acorn energy,23959,variable-rate all,Electricity,3-year-contract all,44.71
fluent utilities,23995,variable-rate all,Electricity,3-year-contract all,44.71
airdrie energy,24005,variable-rate all,Electricity,3-year-contract all,44.71
utilitynet,23972,variable-rate all,Electricity,3-year-contract all,44.71
jade energy,23286,variable-rate all,Electricity,3-year-contract all,44.71
brighter futures energy inc.,23948,variable-rate all,Electricity,3-year-contract all,44.71
camrose energy,24073,fixed-rate all,Electricity,3-year-contract all,44.72
adagio energy,24009,fixed-rate all,Electricity,1-year all,44.73
foothills energy co-op,24105,fixed-rate all,Electricity,1-year all,44.79
solarmax power,24208,fixed-rate all,Electricity,3-year-contract all,44.81
shared value energy,24195,fixed-rate all,Electricity,1-year all,44.82
neon power,24335,fixed-rate all,Electricity,3-year-contract all,44.84
rocky mountain community energy,24255,fixed-rate all,Electricity,1-year all,44.85
orizon utilities,24298,fixed-rate all,Electricity,1-year all,44.85
big rock power,23928,fixed-rate all,Electricity,3-year-contract all,44.85
tassa energy,24245,fixed-rate all,Electricity,3-year-contract all,44.87
guardian utilities,24159,promotional-rate all,Electricity,no-term all,44.87
guardian utilities,24171,variable-rate all,Electricity,1-year all,44.87
ridge utilities,24324,fixed-rate all,Electricity,3-year-contract all,44.91
fluent utilities,23988,fixed-rate all,Electricity,3-year-contract all,44.92
great canadian utilities,24273,fixed-rate all,Electricity,3-year-contract all,44.92
burst energy,16834,fixed-rate all,Electricity,1-year all,44.94
bow valley power,24057,fixed-rate all,Electricity,3-year-contract all,44.96
bow valley power,24058,fixed-rate all,Electricity,3-year-contract all,44.96
bow valley power,24064,variable-rate all,Electricity,3-year-contract all,44.96
tassa energy,24250,variable-rate all,Electricity,3-year-contract all,44.96
mountain view power,24219,fixed-rate all,Electricity,3-year-contract all,44.97
empwr,24091,fixed-rate all,Electricity,1-year all,44.97
utility simple,23703,fixed-rate all,Electricity,2-year-contract all,44.97
echo energy,24081,fixed-rate all,Electricity,3-year-contract all,45.0
vector energy,24288,fixed-rate all,Electricity,3-year-contract all,45.0
peyakoskan energy,23532,fixed-rate all,Electricity,1-year all,45.01
fluent utilities,23990,fixed-rate all,Electricity,3-year-contract all,45.05
spot power,23902,fixed-rate all,Electricity,3-year-contract all,45.05
sandstone energy,23980,fixed-rate all,Electricity,3-year-contract all,45.05
utilitynet,23967,fixed-rate all,Electricity,3-year-contract all,45.05
wetaskiwin power,24314,fixed-rate all,Electricity,3-year-contract all,45.05
airdrie energy,24003,fixed-rate all,Electricity,3-year-contract all,45.05
brighter futures energy inc.,23943,fixed-rate all,Electricity,3-year-contract all,45.05
mountain view power,24214,fixed-rate all,Electricity,1-year all,45.06
firefly utilities ,24123,fixed-rate all,Electricity,3-year-contract all,45.07
vector energy,24283,fixed-rate all,Electricity,1-year all,45.09
ridge utilities,24325,fixed-rate all,Electricity,3-year-contract all,45.09
great canadian utilities,24274,fixed-rate all,Electricity,3-year-contract all,45.1
alberta utility source,24024,fixed-rate all,Electricity,3-year-contract all,45.12
q-tilities ,24630,fixed-rate all,Electricity,1-year all,45.13
q-tilities ,24635,fixed-rate all,Electricity,3-year-contract all,45.13
headwaters utility,23258,fixed-rate all,Electricity,1-year all,45.13
headwaters utility,23263,fixed-rate all,Electricity,3-year-contract all,45.13
peyakoskan energy,23537,fixed-rate all,Electricity,3-year-contract all,45.14
airdrie energy,23998,fixed-rate all,Electricity,1-year all,45.14
brighter futures energy inc.,23938,fixed-rate all,Electricity,1-year all,45.14
spot power,23900,fixed-rate all,Electricity,1-year all,45.14
wetaskiwin power,24309,fixed-rate all,Electricity,1-year all,45.14
utilitynet,23962,fixed-rate all,Electricity,1-year all,45.14
fluent utilities,23985,fixed-rate all,Electricity,1-year all,45.14
sandstone energy,23975,fixed-rate all,Electricity,1-year all,45.14
camrose energy,24067,fixed-rate all,Electricity,1-year all,45.15
get energy,24133,fixed-rate all,Electricity,3-year-contract all,45.16
firefly utilities ,24128,variable-rate all,Electricity,3-year-contract all,45.16
abode power,23915,fixed-rate all,Electricity,3-year-contract all,45.17
adagio energy,24010,fixed-rate all,Electricity,1-year all,45.17
gateway energy,24423,fixed-rate all,Electricity,3-year-contract all,45.18
utilities by kuby,24175,fixed-rate all,Electricity,3-year-contract all,45.19
alberta utility source,24030,variable-rate all,Electricity,3-year-contract all,45.21
park power,24191,variable-rate all,Electricity,3-year-contract all,45.21
foothills energy co-op,24106,fixed-rate all,Electricity,1-year all,45.22
shared value energy,24196,fixed-rate all,Electricity,1-year all,45.25
tassa energy,24246,fixed-rate all,Electricity,3-year-contract all,45.3
big rock power,23923,fixed-rate all,Electricity,1-year all,45.37
wholesale power,24241,variable-rate all,Electricity,no-term all,45.37
wholesale power,24229,promotional-rate all,Electricity,no-term all,45.37
peyakoskan energy,23533,fixed-rate all,Electricity,1-year all,45.44
acorn energy,23951,fixed-rate all,Electricity,1-year all,45.44
park power,24185,fixed-rate all,Electricity,3-year-contract all,45.47
mountain view power,24215,fixed-rate all,Electricity,1-year all,45.49
alberta cooperative energy (ace),22952,fixed-rate all,Electricity,2-year-contract all,45.5
firefly utilities ,24124,fixed-rate all,Electricity,3-year-contract all,45.5
vector energy,24284,fixed-rate all,Electricity,1-year all,45.52
headwaters utility,23259,fixed-rate all,Electricity,1-year all,45.56
q-tilities ,24631,fixed-rate all,Electricity,1-year all,45.56
utilitynet,23963,fixed-rate all,Electricity,1-year all,45.57
great canadian utilities,24270,fixed-rate all,Electricity,1-year all,45.57
brighter futures energy inc.,23939,fixed-rate all,Electricity,1-year all,45.57
airdrie energy,23999,fixed-rate all,Electricity,1-year all,45.57
sandstone energy,23976,fixed-rate all,Electricity,1-year all,45.57
wetaskiwin power,24310,fixed-rate all,Electricity,1-year all,45.57
spot power,23901,fixed-rate all,Electricity,1-year all,45.57
firefly utilities ,24119,fixed-rate all,Electricity,1-year all,45.59
abode power,23916,fixed-rate all,Electricity,3-year-contract all,45.6
gateway energy,24424,fixed-rate all,Electricity,3-year-contract all,45.61
alberta utility source,24020,fixed-rate all,Electricity,1-year all,45.64
acorn energy,23954,fixed-rate all,Electricity,3-year-contract all,45.66
empwr,24092,fixed-rate all,Electricity,1-year all,45.66
get energy,24136,variable-rate all,Electricity,3-year-contract all,45.68
gateway energy,24429,variable-rate all,Electricity,3-year-contract all,45.7
greenamp utilities,24151,variable-rate all,Electricity,3-year-contract all,45.71
solarmax power,24206,fixed-rate all,Electricity,1-year all,45.76
echo energy,24082,fixed-rate all,Electricity,3-year-contract all,45.78
camrose energy,24071,fixed-rate all,Electricity,1-year all,45.8
big rock power,23925,fixed-rate all,Electricity,1-year all,45.8
tassa energy,24243,fixed-rate all,Electricity,1-year all,45.82
bow valley power,24059,fixed-rate all,Electricity,3-year-contract all,45.82
peyakoskan energy,23534,fixed-rate all,Electricity,1-year all,45.87
great canadian utilities,24275,fixed-rate all,Electricity,3-year-contract all,45.92
great canadian utilities,24271,fixed-rate all,Electricity,1-year all,45.92
mountain view power,24216,fixed-rate all,Electricity,1-year all,45.93
vector energy,24285,fixed-rate all,Electricity,1-year all,45.95
ridge utilities,24326,fixed-rate all,Electricity,3-year-contract all,45.95
q-tilities ,24632,fixed-rate all,Electricity,1-year all,45.99
fluent utilities,23987,fixed-rate all,Electricity,1-year all,46.0
brighter futures energy inc.,23940,fixed-rate all,Electricity,1-year all,46.0
airdrie energy,24000,fixed-rate all,Electricity,1-year all,46.0
spot power,23903,fixed-rate all,Electricity,1-year all,46.0
headwaters utility,23260,fixed-rate all,Electricity,1-year all,46.0
utilitynet,23964,fixed-rate all,Electricity,1-year all,46.0
wetaskiwin power,24311,fixed-rate all,Electricity,1-year all,46.0
sandstone energy,23977,fixed-rate all,Electricity,1-year all,46.0
firefly utilities ,24120,fixed-rate all,Electricity,1-year all,46.02
gateway energy,24425,fixed-rate all,Electricity,3-year-contract all,46.04
azgard energy,24044,fixed-rate all,Electricity,3-year-contract all,46.05
park power,24183,fixed-rate all,Electricity,1-year all,46.07
alberta utility source,24021,fixed-rate all,Electricity,1-year all,46.07
acorn energy,23952,fixed-rate all,Electricity,1-year all,46.09
gateway energy,24420,fixed-rate all,Electricity,1-year all,46.13
sundance power,23499,fixed-rate all,Electricity,3-year-contract all,46.14
utilities by kuby,24174,fixed-rate all,Electricity,1-year all,46.14
azgard energy,24045,fixed-rate all,Electricity,3-year-contract all,46.22
tassa energy,24244,fixed-rate all,Electricity,1-year all,46.25
park power,24186,fixed-rate all,Electricity,3-year-contract all,46.33
ridge utilities,24321,fixed-rate all,Electricity,1-year all,46.34
neon power,24334,fixed-rate all,Electricity,1-year all,46.39
greenamp utilities,24144,fixed-rate all,Electricity,3-year-contract all,46.4
great canadian utilities,24272,fixed-rate all,Electricity,1-year all,46.44
firefly utilities ,24121,fixed-rate all,Electricity,1-year all,46.45
alberta utility source,24022,fixed-rate all,Electricity,1-year all,46.5
alberta utility source,24025,fixed-rate all,Electricity,3-year-contract all,46.5
sponsor energy,19311,fixed-rate all,Electricity,1-year all,46.56
gateway energy,24421,fixed-rate all,Electricity,1-year all,46.56
sundance power,23500,fixed-rate all,Electricity,3-year-contract all,46.57
echo energy,24080,fixed-rate all,Electricity,1-year all,46.65
azgard energy,24052,variable-rate all,Electricity,3-year-contract all,46.66
ascend energy,24039,variable-rate all,Electricity,3-year-contract all,46.66
sundance power,23510,variable-rate all,Electricity,3-year-contract all,46.66
utilities by kuby,24178,variable-rate all,Electricity,3-year-contract all,46.71
ridge utilities,24322,fixed-rate all,Electricity,1-year all,46.77
greenamp utilities,24145,fixed-rate all,Electricity,3-year-contract all,46.83
encor by epcor,24350,fixed-rate all,Electricity,2-year-contract all,46.91
68energy,10691,fixed-rate all,Electricity,1-year all,46.96
gateway energy,24422,fixed-rate all,Electricity,1-year all,46.99
sundance power,23501,fixed-rate all,Electricity,3-year-contract all,47.0
sundance power,23497,fixed-rate all,Electricity,1-year all,47.09
abode power,23913,fixed-rate all,Electricity,1-year all,47.11
bow valley power,24055,fixed-rate all,Electricity,1-year all,47.12
bow valley power,24054,fixed-rate all,Electricity,1-year all,47.12
azgard energy,24042,fixed-rate all,Electricity,1-year all,47.13
ridge utilities,24323,fixed-rate all,Electricity,1-year all,47.2
greenamp utilities,24141,fixed-rate all,Electricity,1-year all,47.26
get energy,24134,fixed-rate all,Electricity,3-year-contract all,47.32
get energy,24131,fixed-rate all,Electricity,1-year all,47.32
park power,24184,fixed-rate all,Electricity,1-year all,47.37
atco energy,16733,fixed-rate all,Electricity,2-year-contract all,47.39
sundance power,23498,fixed-rate all,Electricity,1-year all,47.52
abode power,23914,fixed-rate all,Electricity,1-year all,47.54
azgard energy,24043,fixed-rate all,Electricity,1-year all,47.56
greenamp utilities,24142,fixed-rate all,Electricity,1-year all,47.7
atco energy,16734,fixed-rate all,Electricity,3-year-contract all,47.82
powerbill,24068,fixed-rate all,Electricity,1-year all,47.86
powerbill,22737,fixed-rate all,Electricity,3-year-contract all,47.86
guardian utilities,24161,variable-rate all,Electricity,1-year all,47.87
guardian utilities,24156,promotional-rate all,Electricity,no-term all,47.87
guardian utilities,24158,promotional-rate all,Electricity,no-term all,47.87
sundance power,23496,fixed-rate all,Electricity,1-year all,47.95
bow valley power,24056,fixed-rate all,Electricity,1-year all,47.98
sturgeon river utilities,23835,fixed-rate all,Electricity,1-year all,48.03
sponsor energy,20407,fixed-rate all,Electricity,3-year-contract all,48.33
wholesale power,24230,promotional-rate all,Electricity,no-term all,48.37
wholesale power,24239,variable-rate all,Electricity,no-term all,48.37
olympus energy,21846,fixed-rate all,Electricity,1-year all,48.37
peace power,19842,fixed-rate all,Electricity,3-year-contract all,48.53
guardian utilities,24167,fixed-rate all,Electricity,3-year-contract all,48.59
utility simple,23704,fixed-rate all,Electricity,1-year all,48.82
encor by epcor,24349,fixed-rate all,Electricity,2-year-contract all,48.86
atco energy,16732,fixed-rate all,Electricity,1-year all,48.86
easymax by enmax energy corporation,22664,fixed-rate all,Electricity,1-year all,48.87
peace power,23697,fixed-rate all,Electricity,2-year-contract all,49.01
wholesale power,24237,fixed-rate all,Electricity,3-year-contract all,49.09
8760,21547,fixed-rate all,Electricity,1-year all,49.2
alberta cooperative energy (ace),20569,fixed-rate all,Electricity,3-year-contract all,49.34
ascend energy,24034,fixed-rate all,Electricity,3-year-contract all,49.47
guardian utilities,24162,fixed-rate all,Electricity,1-year all,49.54
burst energy,16390,fixed-rate all,Electricity,3-year-contract all,49.77
wholesale power,24232,fixed-rate all,Electricity,1-year all,50.04
68energy,17222,fixed-rate all,Electricity,3-year-contract all,50.36
ascend energy,24033,fixed-rate all,Electricity,1-year all,50.42
direct energy,24609,fixed-rate all,Electricity,1-year all,50.42
wholesale power,24227,variable-rate all,Electricity,3-year-contract all,50.61
guardian utilities,24170,variable-rate all,Electricity,1-year all,50.87
easymax by enmax energy corporation,24441,fixed-rate all,Electricity,3-year-contract all,51.03
strathcona power,24548,fixed-rate all,Electricity,1-year all,51.04
alberta cooperative energy (ace),19490,fixed-rate all,Electricity,3-year-contract all,51.07
greenamp utilities,24146,fixed-rate all,Electricity,3-year-contract all,51.15
guardian utilities,23247,variable-rate all,Electricity,3-year-contract all,51.32
wholesale power,24240,variable-rate all,Electricity,no-term all,51.37
wholesale power,24231,promotional-rate all,Electricity,no-term all,51.37
guardian utilities,24165,fixed-rate all,Electricity,3-year-contract all,51.59
solarmax power,24207,fixed-rate all,Electricity,3-year-contract all,51.64
rewards power,24411,fixed-rate all,Electricity,1-year all,51.8
get energy,24132,fixed-rate all,Electricity,3-year-contract all,51.9
link energy,22977,fixed-rate all,Electricity,1-year all,52.01
greenamp utilities,24143,fixed-rate all,Electricity,1-year all,52.02
wholesale power,24236,fixed-rate all,Electricity,3-year-contract all,52.09
powerbill,24600,fixed-rate all,Bundled,2-year-contract all,52.3
encor by epcor,24348,fixed-rate all,Electricity,2-year-contract all,52.32
solarmax power,24205,fixed-rate all,Electricity,1-year all,52.51
guardian utilities,24163,fixed-rate all,Electricity,1-year all,52.54
prairie power,24602,fixed-rate all,Bundled,1-year all,52.72
peace power,19841,fixed-rate all,Electricity,1-year all,52.86
choice energy,23788,fixed-rate all,Electricity,1-year all,52.92
sturgeon river utilities,23836,fixed-rate all,Electricity,3-year-contract all,52.96
wholesale power,24233,fixed-rate all,Electricity,1-year all,53.04
8760,22888,fixed-rate all,Electricity,3-year-contract all,53.09
guardian utilities,24157,variable-rate all,Electricity,3-year-contract all,53.11
atco energy,16735,fixed-rate all,Electricity,5-years-or-more all,53.18
sponsor energy,20195,fixed-rate all,Electricity,5-years-or-more all,53.48
xoom energy canada,24657,fixed-rate all,Electricity,2-year-contract all,53.5
wholesale power,24226,variable-rate all,Electricity,3-year-contract all,53.61
big energy,21695,fixed-rate all,Electricity,1-year all,53.69
alberta cooperative energy (ace),20568,fixed-rate all,Electricity,5-years-or-more all,54.1
direct energy,24606,fixed-rate all,Electricity,1-year all,54.31
activate energy,22918,fixed-rate all,Electricity,1-year all,54.38
guardian utilities,24166,fixed-rate all,Electricity,3-year-contract all,54.59
xoom energy canada,24659,fixed-rate all,Electricity,3-year-contract all,54.8
wholesale power,24235,fixed-rate all,Electricity,3-year-contract all,55.09
direct energy,24612,fixed-rate all,Electricity,1-year all,55.17
easymax by enmax energy corporation,24439,fixed-rate all,Electricity,5-years-or-more all,55.35
strathcona power,24549,fixed-rate all,Electricity,3-year-contract all,55.37
guardian utilities,24164,fixed-rate all,Electricity,1-year all,55.54
encor by epcor,24347,fixed-rate all,Electricity,2-year-contract all,55.56
wholesale power,24234,fixed-rate all,Electricity,1-year all,56.04
guardian utilities,24160,variable-rate all,Electricity,3-year-contract all,56.11
alberta cooperative energy (ace),11645,fixed-rate all,Electricity,5-years-or-more all,56.26
8760,20905,fixed-rate all,Electricity,5-years-or-more all,56.55
wholesale power,24225,variable-rate all,Electricity,3-year-contract all,56.61
encor by epcor,24345,fixed-rate all,Bundled,2-year-contract all,56.74
activate energy,22920,fixed-rate all,Electricity,3-year-contract all,56.81
choice energy,23787,fixed-rate all,Electricity,3-year-contract all,57.33
atco energy,24481,combined-rate all,Bundled,2-year-contract all,57.42
atco energy,16824,fixed-rate all,Bundled,2-year-contract all,57.44
rewards power,24412,fixed-rate all,Electricity,3-year-contract all,57.45
sturgeon river utilities,23837,fixed-rate all,Electricity,5-years-or-more all,57.5
atco energy,22982,fixed-rate all,Bundled,2-year-contract all,57.61
atco energy,22983,fixed-rate all,Bundled,3-year-contract all,57.62
atco energy,22984,fixed-rate all,Bundled,5-years-or-more all,57.63
atco energy,24482,combined-rate all,Bundled,3-year-contract all,57.85
atco energy,22985,fixed-rate all,Bundled,3-year-contract all,58.04
atco energy,22762,fixed-rate all,Bundled,3-year-contract all,58.05
atco energy,22978,fixed-rate all,Bundled,3-year-contract all,58.05
atco energy,22986,fixed-rate all,Bundled,5-years-or-more all,58.06
direct energy,24608,fixed-rate all,Bundled,1-year all,58.16
atco energy,24480,combined-rate all,Bundled,1-year all,58.89
easymax by enmax energy corporation,22684,combined-rate all,Bundled,1-year all,58.91
epcor energy alberta gp inc.,23485,regulated-rate all,Electricity,no-term all,59.05
atco energy,16823,fixed-rate all,Bundled,1-year all,59.08
atco energy,22979,fixed-rate all,Bundled,2-year-contract all,59.08
atco energy,22980,fixed-rate all,Bundled,3-year-contract all,59.09
atco energy,22981,fixed-rate all,Bundled,5-years-or-more all,59.1
easymax by enmax energy corporation,23791,fixed-rate all,Bundled,1-year all,59.11
sponsor energy,22899,fixed-rate all,Bundled,1-year all,59.26
sponsor energy,22900,fixed-rate all,Bundled,3-year-contract all,59.29
sponsor energy,22901,fixed-rate all,Bundled,5-years-or-more all,59.3
link energy,22976,fixed-rate all,Electricity,3-year-contract all,59.34
strathcona power,24550,fixed-rate all,Electricity,5-years-or-more all,59.69
direct energy,24615,fixed-rate all,Electricity,5-years-or-more all,59.93
altaconnect,21708,fixed-rate all,Electricity,1-year all,60.05
astro energy,19323,fixed-rate all,Electricity,5-years-or-more all,60.79
rewards power,24413,fixed-rate all,Electricity,5-years-or-more all,60.89
sponsor energy,20408,fixed-rate all,Bundled,3-year-contract all,61.03
sponsor energy,20409,fixed-rate all,Bundled,3-year-contract all,61.06
easymax by enmax energy corporation,24449,combined-rate all,Bundled,3-year-contract all,61.07
sponsor energy,21703,fixed-rate all,Bundled,5-years-or-more all,61.07
easymax by enmax energy corporation,24448,fixed-rate all,Bundled,3-year-contract all,61.27
choice energy,19415,fixed-rate all,Electricity,5-years-or-more all,61.79
activate energy,22917,fixed-rate all,Electricity,5-years-or-more all,62.0
direct energy,24605,fixed-rate all,Bundled,1-year all,62.05
link energy,20132,fixed-rate all,Electricity,5-years-or-more all,62.62
direct energy,24611,fixed-rate all,Bundled,1-year all,62.91
atco energy,24483,combined-rate all,Bundled,5-years-or-more all,63.21
atco energy,22987,fixed-rate all,Bundled,5-years-or-more all,63.4
atco energy,22989,fixed-rate all,Bundled,5-years-or-more all,63.41
atco energy,22988,fixed-rate all,Bundled,5-years-or-more all,63.41
atco energy,16826,fixed-rate all,Bundled,5-years-or-more all,63.42
big energy,19327,fixed-rate all,Electricity,5-years-or-more all,63.69
energy for less,23897,fixed-rate all,Electricity,1-year all,63.69
bright fire energy,16855,fixed-rate all,Electricity,5-years-or-more all,63.81
regional energy,22892,fixed-rate all,Electricity,3-year-contract all,65.36
easymax by enmax energy corporation,24443,combined-rate all,Bundled,5-years-or-more all,65.4
easymax by enmax energy corporation,24445,fixed-rate all,Bundled,5-years-or-more all,65.62
energy for less,23896,fixed-rate all,Electricity,3-year-contract all,65.63
sponsor energy,22896,fixed-rate all,Bundled,5-years-or-more all,66.18
sponsor energy,22897,fixed-rate all,Bundled,5-years-or-more all,66.2
sponsor energy,22898,fixed-rate all,Bundled,5-years-or-more all,66.22
direct energy,24614,fixed-rate all,Bundled,5-years-or-more all,67.69
regional energy,19315,fixed-rate all,Electricity,5-years-or-more all,69.68
energy for less,19318,fixed-rate all,Electricity,5-years-or-more all,69.7
altaconnect,20509,fixed-rate all,Bundled,1-year all,90.26
regional energy,22895,fixed-rate all,Bundled,3-year-contract all,91.18
regional energy,19957,fixed-rate all,Bundled,5-years-or-more all,95.94
abode power,17036,variable-rate all,Electricity,3-year-contract all,134.7
acorn energy,23009,variable-rate all,Electricity,3-year-contract all,137.7
